Comment,Topic (choose from the 'key ' worksheet and type topic class number):,Sentiment (type Pos/Neg/Neu): ,Annotator Notes:
Hoping it becomes more Special Needs friendly - There are no programs to serve child care needs of the Special Ones. ,11. Other,Pos,
opportunities for more efficient transit and a more walkable city,1. Transportation systems/vehicles and autonomy,Pos,
"A city that is involved, is engaged with residents, and anticipates needs rather than reacting passively to events.",10. Community well-being,Neu,
Progressive efforts to improve everyone̥s lives,10. Community well-being,Neu,Interesting character
Department of innovation finally earning their overpriced salaries and finishing projects that help the city. Not just talking about these projects. ,11. Other,Neu,
Flying cars and ease of mobility.,1. Transportation systems/vehicles and autonomy,Pos,
"innovative, creative and a city moving forward, not backward. ",5. Community resilience/adaptability/and sustainability,Neu,
"make it easier to access, never can remember passwords!",4. Cybersecurity and privacy for public and private sectors,Neu,
"Separate lanes to include pedestrians, wheelchairs, and bicycles, similar to those in Europe (Amsterdam.) ",11. Other,Pos,
Efficient growth. ,7. Agriculture and rural productivity and quality of life,Pos,
I would like it to encourage culture and community.,10. Community well-being,Neu,
"accessing more through a phone or computer, via services, information, engagement. Being able to make decisions based on real time data and information.",3. Wireless communications and broadband applications,Pos,
That San Antonio keeps electing leaders that are progressive and working together with all parties and ideologies to improve well being in SA. ,2. Data governance and city data platforms and dashboards,Neu,
I like that the City is looking into growth wisely.;  I'm concerned about what I perceive to be uncontrolled growth-too many shopping centers littering the environment. Housing in neighborhoods being built without care for the environment and aesthetic appeal. ,5. Community resilience/adaptability/and sustainability,Neg,
Using tech features more than in the past.,8. Smart building technologies and IoT applications,Pos,
"The support of small business owners will go far to help the city have its uniqueness, we don̥t wanna be the next Austin, or large metro like Houston or Dallas, we are a friendly, military, mom &pop/ private owner supporters, let̥s stay that way! ",11. Other,Neu,Interesting character
Cities that leverage technology to assist in improving the lives of their residents.,8. Smart building technologies and IoT applications,Pos,
Local government websites need to be easier for the elderly to use,2. Data governance and city data platforms and dashboards,Neu,
"Such great infrastructure, with continued funding and innovation it'll only get better.",5. Community resilience/adaptability/and sustainability,Pos,
Public Transportation like Tokyo or Seoul. Greenspace like the Amsterdam. Less car-dependency like Mackinac Island. Safety like Singapore. ,1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
Provide easy access to do things online and be able to schedule zoom meetings for anyone who has questions for a particular dept. A virtual open door policy.,3. Wireless communications and broadband applications,Pos,
Its forward-thinking government and improvements of living and environment sustainability.,2. Data governance and city data platforms and dashboards,Pos,Fits 2 or more categories
"The term ""Smart Cities"" is synonymous with Government overreach and invasion of privacy, taking away rights of private citizens.  The Government has no authority or right to say how cool my house is, or when I can water my lawn.   ",11. Other,Neg,
The possibility to build it right before the coming population explosion,5. Community resilience/adaptability/and sustainability,Neu,
A green city with a lot of alternatives for electricity  ,6. Public utilities for energy/water/and waste management,Pos,
"Improved public transportation, and people seem to care more about parks, public transportation, and the overall pattern of urban development and planning.",1. Transportation systems/vehicles and autonomy,Pos,
"Solar energy, fiber internet, light rail ",6. Public utilities for energy/water/and waste management,Neu,
"multiple Information available by connected to apps, not just City service information",3. Wireless communications and broadband applications,Neu,Fits 2 or more categories
Trains and public transportation ,1. Transportation systems/vehicles and autonomy,Neu,
free access for low income neighborhoods ,3. Wireless communications and broadband applications,Pos,
"Gronthor. But it also scares me, because infrastructure and services aren't growing to keep pace.",11. Other,Neg,
"Public transit, light rail, side walks, bike lanes, and green ways. Not freeways full of uninsured oversized trucks and free range mattresses. ",1. Transportation systems/vehicles and autonomy,Neu,
"Traffic, cleaness, environment air quality,",5. Community resilience/adaptability/and sustainability,Neu,Fits 2 or more categories
Affordable home owning,11. Other,Pos,
Green initiates and public transportation efforts,5. Community resilience/adaptability/and sustainability,Pos,Fits 2 or more categories
Growth of business and population,11. Other,Pos,
Make it easy to access and use.,3. Wireless communications and broadband applications,Neu,
"Faster response times for emergency services, better tools for identifying and solving crimes and prosecuting criminals, emergency alert and guidance systems",8. Smart building technologies and IoT applications,Pos,Fits 2 or more categories
Gimmicky labeling used by politicians to make me feel like it̥s worth voting for them.,2. Data governance and city data platforms and dashboards,Neu,Interesting character
The city working smarter not harder,8. Smart building technologies and IoT applications,Neu,
The investment in training and educating people for better jobs.,9.  Education and workforce development,Pos,
More road lanes on the highways and busy roads,1. Transportation systems/vehicles and autonomy,Neu,
better public transit,1. Transportation systems/vehicles and autonomy,Pos,
"The via app trip planner is HORRIBLE. 311 app is HORRIBLE, not even functional at all. These are basic, vital resources the city is neglecting. ",1. Transportation systems/vehicles and autonomy,Neg,
To make our lives easier and reduce inequities across the city,3. Wireless communications and broadband applications,Pos,
"Walkable streets, protected bike lanes, food accessibility, Wifi for all",5. Community resilience/adaptability/and sustainability,Pos,Fits 2 or more categories
"Using technology to make cities ""smart"", to improve service delivery and quality of life",8. Smart building technologies and IoT applications,Pos,
"That San Antonio really seems to be open to listening to the little people about what could improve current infrastructure. I am not an expert in architecture, infrastructure or economy--not by any means--but I know from past experience what works seamlessly for other cities I have lived in.",5. Community resilience/adaptability/and sustainability,Pos,
A unnecessary but flashy dept funneling important funds from key city functions ,11. Other,Neg,
Job growth ,9.  Education and workforce development,Neu,
"Comprehensive, interactive map of the hike/bike/run/walk trails throughout San Antonio, updated with construction, flooding, and closure information. ",5. Community resilience/adaptability/and sustainability,Pos,
"I would like to technology to be used to improve internet connectivity, metro transit and smart city integration ",8. Smart building technologies and IoT applications,Neu,
"Environmental protection and a water policy that disincentivizes larger companies/landowners from having huge lawns that only contribute to a monoculture of plants, causing further problems for the heat dome.",6. Public utilities for energy/water/and waste management,Neg,
"San Antonio is a diverse and beautiful city that has made some right decisions in recent years. We need to remove cars from our city whenever possible and take back parking lots. So much of our city is parking and it's just not necessary. Replace them with consistent and reliable public transit and add green spaces (not just grass, native plants and trees) whenever possible. ",1. Transportation systems/vehicles and autonomy,Pos,
better use of our water and energy,6. Public utilities for energy/water/and waste management,Pos,
A city where our children can go to school to learn rather than fear the possibility of harm. A city where our teachers do not have to live in fear of harm while passionately teaching. ,9.  Education and workforce development,Pos,
Cities that have more tech savvy populations perhaps due to language and/or age of its residents. ,8. Smart building technologies and IoT applications,Neu,
New tech bussinesses,8. Smart building technologies and IoT applications,Pos,
First we have to get more internet access to outlining neighborhoods.,3. Wireless communications and broadband applications,Neu,
The possibility of developing large-city businesses and economy without sacrificing our city̥s character. ,10. Community well-being,Pos,Fits 2 or more categories/Interesting character
more unity through diversity celebration.,11. Other,Pos,
Technology to improve city services ,8. Smart building technologies and IoT applications,Pos,Fits 2 or more categories
"Upgrade the power and electricity infrastructure so the power doesn̥t go out every time it gets cold. The city can use technology to keep us informed about Covid and other important public health or safety news. Use technology to reduce pollution, ban single use plastics, better recycling facilities and keep our city clean and green. If you check the weather channel app, San Antonio has several days a week when the air quality is hazardous. I bet you didn̥t know that. The city should know that. We are a very polluted city. Driving in San Antonio is a death sentence, speeders and bad drivers are the norm and the city does nothing to monitor or control it. I want red light cameras and police monitoring the speeders in my area of town which is Vance Jackson, Lockhill Selma, Huebner and Wurzbach area. It̥s not safe to drive with speeders driving 60mph in front of our schools and houses. Put cameras to ticket these speeders or have police around to catch them and fine them. If you go the speed limit on Vance Jackson (35), you̥re subjected to honking, tail gaiting and aggressive road rage behavior from the drivers behind you. I̥ve had several incidents happen to me simply by going the speed limit. It̥s scary and dangerous and the city does nothing   ",6. Public utilities for energy/water/and waste management,Neu,Fits 2 or more categories/Interesting character
Rent control and food security. ,7. Agriculture and rural productivity and quality of life,Neu,
Incorporating innovative and creative practices to make San Antonio a more livable city. ,7. Agriculture and rural productivity and quality of life,Neu,
Reduce wait times by scheduling online appointments and filling out paperwork online,8. Smart building technologies and IoT applications,Neu,Fits 2 or more categories
clear strategy to best use technology to improve the life style of its citizens and sustain such strategic objective,8. Smart building technologies and IoT applications,Pos,
Urban area that uses technology to collect data.,2. Data governance and city data platforms and dashboards,Pos,
"Cities planned around the people and not around businesses. Cities that adapt to peoples needs such as areas without cars to encourage foot traffic (more space for local stalls, while also helping obesity rates)",1. Transportation systems/vehicles and autonomy,Neu,Fits 2 or more categories
To improve accessibility to various services and programs,11. Other,Pos,
"Efficiency - How do we do more while consuming less.  Public transportation is key, intelligent zoning, access to parks from the places where people live, less of a focus on ever expanding highways!",1. Transportation systems/vehicles and autonomy,Pos,
Further development of high paying jobs for those who have not had access to them before ,9.  Education and workforce development,Pos,
Better/ greener transportation and walkable/wheelable sidewalks in our communities. Clean public spaces and parks. green energy,5. Community resilience/adaptability/and sustainability,Pos,
Solar and upgrading our technology ,8. Smart building technologies and IoT applications,Pos,Fits 2 or more categories
Best public school facility in the Nation; Able to compete Globally,9.  Education and workforce development,Pos,
Smart cities include cities where all residents have access to Internet in their home. Also infrastructures are efficient and technologically advanced. ,3. Wireless communications and broadband applications,Pos,Fits 2 or more categories
Replace existing above-ground utility lines with in-ground facilities.,6. Public utilities for energy/water/and waste management,Neu,
Walkable and sustainable cities with great public transit ,1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
The possibilities for everyone,10. Community well-being,Neu,Fits 2 or more categories
"Inclusive,  progressive,  accessible,  sanitary,  sustainable,  resilient ",5. Community resilience/adaptability/and sustainability,Neu,
Accessible public transportation.,1. Transportation systems/vehicles and autonomy,Neu,
"improved service times for transit, better information access",1. Transportation systems/vehicles and autonomy,Neu,Fits 2 or more categories
Being better city ,11. Other,Neu,
Effective and efficient use of city dollars,5. Community resilience/adaptability/and sustainability,Pos,
We are an ever growing city and with the right people we can use technology to advance our community for generations to come. ,10. Community well-being,Pos,
"Electric trains, free WiFi, free events with local businesses selling there. ",5. Community resilience/adaptability/and sustainability,Pos,Fits 2 or more categories
"A city with information seamlessly and constantly be transmitted between departments, services, and the city and its citizens. Where any citizen who is need of something can get on their device and easily access help/ resources online.",8. Smart building technologies and IoT applications,Neu,
"Unsure. It doesn't say much of what it entails, smart in what way? Potentially too much automation?",11. Other,Neu,
Technology ,11. Other,Neu,
Opportunity to be the best and get it RIGHT. I hope San Antonio sets the new standard in what is possible. ,10. Community well-being,Pos,
public free wifi ,3. Wireless communications and broadband applications,Neu,
I want an app to pay for my water and wifi services. Also an app to bus transportation. ,8. Smart building technologies and IoT applications,Pos,
The upbringing of the youth,9.  Education and workforce development,Neu,
A city were technology is integrated to make human life easier and more automated ,8. Smart building technologies and IoT applications,Pos,
The possibility of a light rail! ,1. Transportation systems/vehicles and autonomy,Pos,
"Honestly, not sure. I want to see light rail all around the city, and for it to be equitable and accessible. I'd love to see more walkable areas. Have you ever tried to walk down San Pedro Ave? It's dangerous - the cars are literally right on top of you even though you're on the sidewalk. Every world class city in the world has good public transit and walkable areas that are accessible to everyone. I don't see that here.",1. Transportation systems/vehicles and autonomy,Neu,
All the high-tech low-hanging fruit has already been picked. I would like to see a municipal AM or FM station for public information broadcasts. If the power goes out for an extended period cell phone service may be down or overloaded with traffic  and a battery-powered AM/FM receiver may be the only way to receive information. ,7. Agriculture and rural productivity and quality of life,Neu,
The potential it has since it's one of the fastest growing cities in US. ,10. Community well-being,Pos,
electric batteries storage ,6. Public utilities for energy/water/and waste management,Pos,
they dont have ugly utility lines everywhere - is a smart city,6. Public utilities for energy/water/and waste management,Neg,
Advanced technology,8. Smart building technologies and IoT applications,Neu,
Efficient public transportation with rail.,1. Transportation systems/vehicles and autonomy,Neu,
Free reliable Wi-Fi throughout the city/public areas,3. Wireless communications and broadband applications,Neu,
Internet based access,3. Wireless communications and broadband applications,Neu,
"We can order passports online, birth certificates and social security online by being able to upload required documentation online ",8. Smart building technologies and IoT applications,Pos,
Having accessible hotspot all around town,3. Wireless communications and broadband applications,Neu,
Build trains and streetcars,1. Transportation systems/vehicles and autonomy,Neu,
Making sure we reduce our CO2 output and helping the earth,6. Public utilities for energy/water/and waste management,Pos,
"RAIL SYSTEM BETWEEN HERE AND DALLAS, STOPPING IN AUSTIN. ",1. Transportation systems/vehicles and autonomy,Neg,Shouting
"Density and neighborhoods where retail, restaurant, office, and entertainment are mixed into residential areas ",7. Agriculture and rural productivity and quality of life,Neu,
Growth from a car-based small town to an urban hub with ample opportunities for all.,7. Agriculture and rural productivity and quality of life,Pos,
"Technology upgraded and available for its citizens, tourist and workers.  ",8. Smart building technologies and IoT applications,Pos,
Better area,10. Community well-being,Neu,
"Interconnection between public transportation, information on traffic and available city services, and use of technology to promote a healthy ecology/environment.",1. Transportation systems/vehicles and autonomy,Neu,
Big brother and that is unacceptable. ,11. Other,Neg,
The prospect of living the rest of my life here and future improvements made to our city that would benefit the whole community.,5. Community resilience/adaptability/and sustainability,Pos,
A well planned city where building permits of new homes are properly managed based on the infrastructure.,7. Agriculture and rural productivity and quality of life,Pos,
Opportunity for all,10. Community well-being,Neu,
Easier apps to navigate,3. Wireless communications and broadband applications,Neu,
Services that automatically adjust and align as needs change,11. Other,Neu,
All around help with least struggle,10. Community well-being,Neu,
"We need passenger rail to connect DFW to Austin and Houston, and to connect San Antonio to Austin and Houston. That would excite me and would enable a lot of economic benefits to manifest.",1. Transportation systems/vehicles and autonomy,Pos,
Management buzzword. ,2. Data governance and city data platforms and dashboards,Neu,
Make it friendly. Some of us are technologically challenged. ,9.  Education and workforce development,Neu,
"Help educate those who do not know how to use phones, emails, computers. As well as helping them sign up for new opportunities.",9.  Education and workforce development,Neu,
All of the ideas and plans that are being brought to light. ,11. Other,Neu,
Make it available for everyone and fund the underfunded districts and quit over funding the police,10. Community well-being,Neu,
"Cities with less pollution as they use clean energy to power electric systems for transportation, better thought out safe roads, and incorporation of technology that helps to reduce our carbon footprint while reducing our concrete jungle.",1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
Progress and sustained growth while maintaining the culture that makes San Antonio unique. ,5. Community resilience/adaptability/and sustainability,Neu,
Trains,1. Transportation systems/vehicles and autonomy,Neu,
A city that makes available resources to its communities with little impact on the environment.,5. Community resilience/adaptability/and sustainability,Neu,
Wise use of resources on behalf of citizens,6. Public utilities for energy/water/and waste management,Neu,
Better safety and cheaper ways to transport,1. Transportation systems/vehicles and autonomy,Neu,
"Upgrade Police and Fire IT systems, bring them into the modern age.",8. Smart building technologies and IoT applications,Pos,
Affordable internet access for all citizens ,3. Wireless communications and broadband applications,Pos,
"San Antonio is at the beginning of a major transformation.  If managed well, this could become a model city for decades to come.  Or it can become Houston Part II.",11. Other,Neu,
Improvement to Downtown,11. Other,Neu,
I̥m not sure. A city where technology is accessible and encouraged.,8. Smart building technologies and IoT applications,Neu,Interesting character
"The recent growth has made it more diverse, and I'm excited for what the future holds. ",10. Community well-being,Pos,
"Better communication about available resources that can help residents. More opportunities for people to access these resources online through forms, chats, virtual assistance, etc.",3. Wireless communications and broadband applications,Pos,
"Dashboards that are easily accessible to understand state of various public resources. Water/air quality monitoring, i.e. sampling of water during pandemic to understand scale of spread. Dashboard of free wifi color coded by speed/strength. ",2. Data governance and city data platforms and dashboards,Pos,
Innovation ,11. Other,Neu,
"If our wonderful hometown could take itself more seriously when it comes to improving its infrastructure and acting more like a Top Ten Most Populous city instead of a ""big small town,"" my excitement will return and grow once again.",7. Agriculture and rural productivity and quality of life,Neu,
The closure of Spruce and its replacement with renewable energy,6. Public utilities for energy/water/and waste management,Neu,
I see more and more evidence of smart planning and environmental care and use of public spaces. All of these things fill me with pride and hope.,5. Community resilience/adaptability/and sustainability,Pos,
Hear community voices and see what is needed in each area,10. Community well-being,Pos,
It all comes down to adequately staffing technological resources,8. Smart building technologies and IoT applications,Neu,
High tech access to city services,2. Data governance and city data platforms and dashboards,Neu,
Stop wasting money,11. Other,Neg,
more clarity and faster response,11. Other,Neu,
Walkable/bikeable accessibility to grocery stores/coffee shops/retail/ schools/parks,10. Community well-being,Pos,
Being involved.,11. Other,Neu,
"free wifi in City owned properties and for specific city departments to monitor social media webites to see and listen to crime, events that are both good and bad.",3. Wireless communications and broadband applications,Pos,
Communication,3. Wireless communications and broadband applications,Neu,
LIGHT RAIL,1. Transportation systems/vehicles and autonomy,Neu,Shouting
To provide info about healthy foods,7. Agriculture and rural productivity and quality of life,Pos,
Development ,5. Community resilience/adaptability/and sustainability,Neu,
Data and technology,8. Smart building technologies and IoT applications,Pos,
Nicer housing ,10. Community well-being,Neu,
Train for Jobs has the capability to reduce economic disparities in this community.  It is unique and has tremendous potential. ,1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
"Data-driven transit systems, especially a rail system, that connects a developing downtown economy to other inner-410 communities, as well as surrounding suburbs. Data can be used to determine strategic locations for stops and routes that would make such services accessible to the average family to use as a primary means of transportation. This would likely work in conjunction with the development of walkable communities centered in various already-existing ""hubs.""",1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
Quick and easy use.,11. Other,Neu,
Technology and better use of our resources.,8. Smart building technologies and IoT applications,Neu,
Public railway system to move around the city conveninietly ,1. Transportation systems/vehicles and autonomy,Pos,
"Public transportation such as trains, light rails, subway",1. Transportation systems/vehicles and autonomy,Pos,
Cities with esports.,8. Smart building technologies and IoT applications,Pos,
"It's continuation of being traditional, yet innovative unlike any other city in the world.",5. Community resilience/adaptability/and sustainability,Neu,
"Via trans and Via Link scheduling should be further out, and could be with a better interface",2. Data governance and city data platforms and dashboards,Neu,
Computer and high tech savvy.,8. Smart building technologies and IoT applications,Neu,
Everything from trash pickup to response times to public information and data could be improved with streamlined technology. ,2. Data governance and city data platforms and dashboards,Neu,
People are starting to see the historic inequities and willing to address it. ,11. Other,Neu,
"Make data informed decisions - identify and remediate crime hotspots/trends, traffic bottlenecks, adaptive pricing to encourage better electric and water usage, etc. Surveillance data to aid public safety and prosecution of crimes (cameras, license plate scanners, etc.).",2. Data governance and city data platforms and dashboards,Pos,Fits 2 or more categories
Greater access to transportation and more solar friendly,1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
"The culture mix of people, the bond of being in Texas ",10. Community well-being,Pos,
city with characteristics of smaller cities.,5. Community resilience/adaptability/and sustainability,Neu,
"Focus on our local communities with public transportation like dedicated bus & bike lanes, light rail, etc. to allow me to stop at small local businesses like the North St. Mary̥s Strip and The Pearl",1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories/Interesting character
"hire trained web mgr information/technology specialists to gather, write and organize data in an easy to use and transparent way - and PLEASE get user feedback once you think you have a plan ",2. Data governance and city data platforms and dashboards,Neu,
"Prioritizing affordable healthcare, and clean public transportation ",10. Community well-being,Neu,Fits 2 or more categories
Computer aided government.  AI,8. Smart building technologies and IoT applications,Pos,
a dystopian future much like how the CCP tracks and monitors it's citizen's activities and opinions; a threat to our constitutional freedoms and personal privacy; an example of UN's Agenda 2030.,2. Data governance and city data platforms and dashboards,Neg,
Provide in more underserved neighborhoods and communities,10. Community well-being,Neu,
How technology is changing the community ,11. Other,Neu,
Make it all connected...incorporate AI and data to make public services EASY and accessible for ALL people in the language that is most comfortable for them.,2. Data governance and city data platforms and dashboards,Pos,
Better response time and follow portal for code violations reported.,11. Other,Neu,
"Reduce crime, stop the know drug homes in E SA.",10. Community well-being,Neu,
People focused infrastructure and optimization.,11. Other,Neu,
"Safety, security, and stability.",5. Community resilience/adaptability/and sustainability,Neu,Fits 2 or more categories
Signal priority for bus transit,1. Transportation systems/vehicles and autonomy,Neu,
Anything about City and it̥s services can be accessed on line. ,2. Data governance and city data platforms and dashboards,Neu,Interesting character
"The possibility to change how we design our infrastructure to better accommodate for the weather we have, while still providing those growth opportunities for those that want it.  ",5. Community resilience/adaptability/and sustainability,Neu,
Teach people about the new technologies and what's coming,9.  Education and workforce development,Pos,
"cities whose citizens have easy access to relevant, up to date technology and internet services ",3. Wireless communications and broadband applications,Pos,Fits 2 or more categories
The gravy that it can still grow and develop as a unique city in the US with a diverse population ,10. Community well-being,Neu,
"A city that uses technology to make public resources easy to access, learn about, encourage people to come together. ",9.  Education and workforce development,Pos,
"Any city in China, we are so far behind.",11. Other,Neg,
"Having lived in San Jose, CA for 22 years (I am originally from Austin) I understand the concept of a Smart City and think that San Antonio could benefit from leveraging the things San Jose has on their road map and has implemented to date.",11. Other,Neu,
make it easy to google the answers we are looking for?,11. Other,Neu,
"Technologically savvy is what society will think, as a Clinical Nutritionist I wish it was that the citizens were educated on their health, Hosea 4:6",9.  Education and workforce development,Neu,
"Ideally, a city that uses technology in a ethical and community-informed way ",10. Community well-being,Pos,
The city is growing and with that there are more opportunities available. But it̥s super important that the cost of living remains lower than in other cities ,5. Community resilience/adaptability/and sustainability,Neu,Interesting character
No really sure. ,11. Other,Neu,
"The collapse of big business and the subsequent green city of ""rivers"" and trees rather than concrete and billboards.",7. Agriculture and rural productivity and quality of life,Pos,
"The incoming wave of austin and San marcos residents, younger folks who would prefer walkable areas and communities with a variety of businesses instead of the same six or seven chains, will hopefully incentivize better, modern zoning, instead of the space wasting and culture smothering suburb and strip mall centric system we have now.",10. Community well-being,Neu,
I hope we keep the same small town atmosphere but with more technology and more first responders. The bigger we grow the more we will need first responders.,10. Community well-being,Pos,
Steubbing ranch ball parks,11. Other,Neu,
"To deliver better services (iternet, etc.)  at lower cost",3. Wireless communications and broadband applications,Neu,
"1. Integrate local, state, and national health data tracking so we can make better decisions on where to direct resources.  In general integrating all public safety systems and databases would be desirable.",2. Data governance and city data platforms and dashboards,Pos,
Digitally connected services and information for all citizens.,2. Data governance and city data platforms and dashboards,Neu,
A city that uses a lot of technology and new innovation to improve the services it offers to residents.,8. Smart building technologies and IoT applications,Neu,
Smart public transit and walkability,1. Transportation systems/vehicles and autonomy,Neu,
Accessible internet service to all residents. ,3. Wireless communications and broadband applications,Pos,
The Spurs moving to Austin!,11. Other,Neu,
"Latest technology, infrastructure, and services delivering efficient, affordable, and convenient services to its population and visitors.  ",5. Community resilience/adaptability/and sustainability,Pos,
More population and development,10. Community well-being,Pos,
Wi-Fi available everywhere. This is custom in Europe city centers and high traffic areas.,3. Wireless communications and broadband applications,Neu,
Help lower the cost of electricity ,6. Public utilities for energy/water/and waste management,Neu,
"An interconnected city: residents digitally connected to services and government, and city connected to neighboring cities/regions through public transportation (railways, busses, carpooling etc.), exchange of goods and data. An interconnected and resilient city. ",3. Wireless communications and broadband applications,Pos,
"Citizen voting, access to parking spots, ",11. Other,Neu,
Successful green growth - the willingness is here,7. Agriculture and rural productivity and quality of life,Neu,
More free software training for families .,9.  Education and workforce development,Neu,
Clean safe cities where technology is used for quick response to crimes and to file charges resulting in prosecution.,2. Data governance and city data platforms and dashboards,Pos,
Not everyone can afford the internet.  Provide free free to all elderly and provide resources to teach them ,3. Wireless communications and broadband applications,Pos,Fits 2 or more categories
The introduction of wireless charging transportation,1. Transportation systems/vehicles and autonomy,Neu,Fits 2 or more categories
Electric no fossil fuels,6. Public utilities for energy/water/and waste management,Neu,
"Planning for transportation needs, securing environmental safety, and engaging citizens across the city rather than in small pockets by tying together transportation, trail systems, and volunteerism.",5. Community resilience/adaptability/and sustainability,Pos,Fits 2 or more categories
Identifying areas of concerns for citizens and optimizing procedures for improving the quality of life. ,7. Agriculture and rural productivity and quality of life,Pos,
"urban rail, denser mixed-use development ",7. Agriculture and rural productivity and quality of life,Neu,
Eco-friendly light rail,1. Transportation systems/vehicles and autonomy,Neu,
Technology and modern use of technology to help sustainability ,5. Community resilience/adaptability/and sustainability,Neu,
The feeling that the next generation will do better than our ancestors did.,11. Other,Neu,
"Public transportation will be a necessity the more San Antonio grows, and technology can make that easier and more accessible ",1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
"Access to evidence-based public health related data. It's hard to decipher what's ""true"" from various social media platforms. ",2. Data governance and city data platforms and dashboards,Neu,
Use existing traffic and mapping data from Google and Apple to determine the most common trips taken by citizens to prioritize public transit routes. Light rail from SAT to downtown to the med center would give business and tourist visitors an easy way to avoid the traffic. ,2. Data governance and city data platforms and dashboards,Neu,Fits 2 or more categories
Internet access and availability to services thru computer ,3. Wireless communications and broadband applications,Neu,
Walkability/ public transport; environmental sustainability; connectedness esp public health info and resources ,1. Transportation systems/vehicles and autonomy,Pos,
The growth,11. Other,Neu,
"Moving toward the future with technology, making strides to making our city green and caring about the environment. However, when we make these improvements, we have to keep the learning level of all ages and abilities in mind. ",8. Smart building technologies and IoT applications,Pos,Fits 2 or more categories
Opportunities - to conserve the best and improve what isn't working.,11. Other,Neu,
Communication ,3. Wireless communications and broadband applications,Neu,
Opportunity for integration and sustainable development but also security risks,5. Community resilience/adaptability/and sustainability,Neu,
better highway systems and roads to reduce traffic.,1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
Regulation of traffic flow,11. Other,Neu,
Smart traffic signals and other things that improve efficiency ,5. Community resilience/adaptability/and sustainability,Neu,
Better internet infrastructure in City buildings to be able to provide a better experience for all who come through the city.,3. Wireless communications and broadband applications,Pos,
"Downtown and inner ring, becoming more dense and walkable. ",5. Community resilience/adaptability/and sustainability,Neu,
Better infrastructure,11. Other,Neu,
Like to be come a mentor ,11. Other,Neu,
"I would like to see technology change the shape of transportation, as well as ability to sustain our water and electricity. ",1. Transportation systems/vehicles and autonomy,Pos,Fits 2 or more categories
"We need subway/rail system in San Antonio, instead if buses. We can then use technology to plan trip and make public transportation more appealing.",1. Transportation systems/vehicles and autonomy,Pos,
"Becoming known as a place of art, culture, diversity, and green practices. We should be the model city! ",10. Community well-being,Pos,Fits 2 or more categories
"Making WiFi available city-wide, especially to assist in online education.",3. Wireless communications and broadband applications,Pos,Fits 2 or more categories
Evolving the future today for our generations of tomorrow. ,11. Other,Neu,
Easier accessibility to see what San Antonio is providing to their citizens,10. Community well-being,Neu,
